DepartmentCode,Department
ASRM,"Actuarial Science and Risk Management"
ALEC,"Agricultural Leadership, Education, and Communications Program"
AGED,"Agricultural Education"
EIL,"English as an International Language"
GWS,"Gender and Women's Studies"
FAA,"Fine and Applied Arts"
ETMA,"Engineering Technology and Management for Agricultural Systems"
EALC,"East Asian Language and Culture"
REHB,"Rehabilitation Counseling"
KOR,"Korean"
LCTL,"Less Commonly Taught Languages"
GRK,"Greek"
TAM,"Theoretical and Applied Mechanics"
NRES,"Natural Resources and Environmental Sciences"
BUS,"Business"
DANC,"Dance"
PSYC,"Psychology"
LAW,"Law"
FIN,"Finance"
BIOP,"Biophysics"
CW,"Creative Writing"
TE,"Technology Entrepreneurship"
AFAS,"Air Force Aerospace Studies"
ENVS,"Environmental Studies"
IS,"Information Sciences"
HDFS,"Human Development and Family Studies"
ACE,"Agricultural and Consumer Economics"
ASST,"Asian Studies"
BIOC,"Biochemistry"
WLOF,"Wolof"
SBC,"Strategic Brand Communication"
ACES,"Agricultural, Consumer and Environmental Sciences"
TRST,"Translation Studies"
FR,"French"
INFO,"Informatics"
ECE,"Electrical and Computer Engineering"
STAT,"Statistics"
GSD,"Game Studies and Design"
LING,"Linguistics"
ITAL,"Italian"
ME,"Mechanical Engineering"
GLBL,"Global Studies"
IB,"Integrative Biology"
AFRO,"African American Studies"
SCAN,"Scandinavian"
VCM,"Veterinary Clinical Medicine"
GER,"German"
MUSC,"Music Lessons and Ensembles"
CHIN,"Chinese"
LAST,"Latin American and Caribbean Studies"
AHS,"Applied Health Sciences Courses"
LAS,"Liberal Arts and Sciences"
ABE,"Agricultural and Biological Engineering"
CEE,"Civil and Environmental Engineering"
BIOE,"Bioengineering"
CLCV,"Classical Civilization"
ARTF,"Art--Foundation"
SHS,"Speech and Hearing Science"
PORT,"Portuguese"
AFST,"African Studies"
ENG,"Engineering"
ECON,"Economics"
MDIA,"Media"
PERS,"Persian"
BDI,"Business Data and Innovation"
SPAN,"Spanish"
AGCM,"Agricultural Communications"
ARTD,"Art--Design"
MILS,"Military Science"
ATMS,"Atmospheric Sciences"
PHYS,"Physics"
SOCW,"Social Work"
RST,"Recreation, Sport, and Tourism"
MUSE,"Museum Studies"
CHBE,"Chemical and Biomolecular Engineering"
LA,"Landscape Architecture"
THEA,"Theatre"
SPED,"Special Education"
HT,"Health Technology"
ARTS,"Art--Studio"
MCB,"Molecular and Cell Biology"
EDUC,"Education"
AIS,"American Indian Studies"
SLCL,"Literatures, Cultures, and Linguistics"
FSHN,"Food Science and Human Nutrition"
MACS,"Media and Cinema Studies"
SOC,"Sociology"
QUEC,"Quechua"
PS,"Political Science"
GEOL,"Geology"
LER,"Labor and Employment Relations"
HUM,"Humanities Courses"
ARTJ,"Japan House"
NUTR,"Nutritional Sciences"
CI,"Curriculum and Instruction"
LEAD,"Organizational and Community Leadership"
NEUR,"Neuroscience"
MUS,"Music"
HNDI,"Hindi"
CSE,"Computational Science and Engineering"
ENSU,"Environmental Sustainability"
LLS,"Latina/Latino Studies"
IHLT,"Interdisciplinary Health Sciences"
POL,"Polish"
TURK,"Turkish"
PSM,"Professional Science Master's Program"
CWL,"Comparative and World Literature"
CIC,"Committee on Inst Cooperation"
AAS,"Asian American Studies"
ERAM,"Education Research & Methods"
MIP,"Molecular and Integrative Physiology"
EPSY,"Educational Psychology"
ARTH,"Art--History"
JAPN,"Japanese"
CS,"Computer Science"
RHET,"Rhetoric and Composition"
CDB,"Cell and Developmental Biology"
DTX,"Human-Centered Design and Design Thinking"
BCOG,"Brain and Cognitive Science"
REES,"Russian, East European and Eurasian Studies"
SLAV,"Slavic"
ADV,"Advertising"
MBA,"Regular MBA Program Administration"
LAT,"Latin"
ASTR,"Astronomy"
ACCY,"Accountancy"
HEBR,"Hebrew, Modern and Classical"
ANTH,"Anthropology"
ARCH,"Architecture"
MICR,"Microbiology"
PLPA,"Plant Pathology"
MATH,"Mathematics"
ARAB,"Arabic"
MDVL,"Medieval Studies"
HIST,"History"
ZULU,"Zulu"
BTW,"Business and Technical Writing"
GRKM,"Modern Greek"
SE,"Systems Engineering and Design"
PATH,"Pathobiology"
MSE,"Materials Science and Engineering"
ARTE,"Art--Education"
JS,"Jewish Studies"
UKR,"Ukrainian"
IE,"Industrial Engineering"
RUSS,"Russian"
BCS,"Bosnian-Croatian-Serbian"
CHLH,"Community Health"
CPSC,"Crop Sciences"
CHP,"Campus Honors Program Courses"
KIN,"Kinesiology"
TMGT,"Technology and Management Courses"
EPOL,"Education Policy, Organization and Leadership"
CLE,"Clinical Sciences and Engineering"
ART,"Art"
GGIS,"Geography & Geographic Information Science"
VM,"Veterinary Medicine Courses"
ENGL,"English"
CB,"Comparative Biosciences"
YDSH,"Yiddish"
JOUR,"Journalism"
AE,"Aerospace Engineering"
EDPR,"Educational Practice"
EURO,"European Union Studies"
SWAH,"Swahili"
BASQ,"Basque"
ESL,"English as a Second Language"
CMN,"Communication"
NS,"Naval Science"
ESE,"Earth, Society, and Environment"
UP,"Urban and Regional Planning"
BSE,"Biomedical Sciences and Engineering"
ANSC,"Animal Sciences"
SAME,"South Asian and Middle Eastern Studies"
NPRE,"Nuclear, Plasma, and Radiological Engineering"
FLTE,"Foreign Language Teacher Education"
GC,"Graduate College"
RMLG,"Romance Linguistics"
BADM,"Business Administration"
CHEM,"Chemistry"
REL,"Religion"
GMC,"Germanic"
HORT,"Horticulture"
NE,"Neural Engineering"
GS,"General Studies"
PHIL,"Philosophy"
WRIT,"Writing Studies"
